id_estudiante,carrera,semestre,turno,edad,genero,promedio_anterior,porcentaje_asistencia,materias_reprobadas_previas,creditos_inscritos,participa_tutorias,beca,trabaja,horas_trabajo_semana,distancia_km,acceso_internet,uso_plataforma_semana,entregas_tareas_pct,reinscripcion_tardia,indice_socioeconomico,riesgo_academico,deserto,reprobo
EST00042,Ingeniería Mecatrónica,2,Matutino,19,M,80.2,88.8,1,29,No,No,Medio tiempo,12,15.0,Sí,18,87.2,No,4,Bajo,0,0
EST00043,Licenciatura en Administración,2,Vespertino,21,F,80.3,83.5,0,26,No,No,Tiempo completo,42,8.2,Sí,13,65.6,No,3,Bajo,0,0
EST00044,Licenciatura en Administración,10,Matutino,21,M,77.4,70.0,0,32,No,No,Tiempo completo,39,2.2,Sí,11,69.1,No,1,Bajo,0,0
EST00045,Ingeniería en Gestión Empresarial,10,Vespertino,25,M,89.1,92.9,1,29,Sí,No,No trabaja,0,7.2,Sí,7,100,No,3,Bajo,0,0
EST00046,Ingeniería en Sistemas Computacionales,1,Vespertino,20,F,76.4,77.3,2,18,Sí,No,No trabaja,0,12.1,Sí,2,83.4,Sí,2,Bajo,0,1
EST00047,Licenciatura en Administración,4,Vespertino,23,F,79.9,72.2,0,34,Sí,Sí,Medio tiempo,26,9.5,Sí,9,100,No,4,Bajo,0,0
EST00048,Ingeniería en Sistemas Computacionales,1,Vespertino,21,F,74.3,89.1,1,36,No,No,No trabaja,0,3.8,Sí,5,68.2,No,1,Bajo,0,0
EST00049,Ingeniería Industrial,9,Matutino,18,M,73.0,92.0,4,33,Sí,No,No trabaja,0,14.3,Sí,13,94.8,No,1,Bajo,0,1
EST00050,Ingeniería en Sistemas Computacionales,10,Vespertino,22,M,81.7,82.8,3,29,No,No,Tiempo completo,31,3.6,Sí,5,85.9,No,3,Medio,0,0
EST00051,Ingeniería en Sistemas Computacionales,10,Vespertino,25,M,68.4,69.0,1,30,No,Sí,Tiempo completo,41,9.9,Sí,5,83.4,No,5,Medio,0,0
EST00052,Ingeniería Mecatrónica,3,Matutino,20,M,85.2,91.0,0,36,No,No,No trabaja,0,4.8,Sí,14,95.5,No,5,Bajo,1,0
EST00053,Ingeniería Civil,3,Vespertino,20,M,56.7,84.0,0,31,Sí,Sí,Medio tiempo,15,11.9,Sí,14,92.7,No,2,Bajo,0,0
EST00054,Ingeniería Electromecánica,2,Vespertino,22,M,68.3,88.0,4,25,Sí,Sí,Medio tiempo,21,9.7,Sí,2,86.3,No,2,Medio,0,1
EST00055,Ingeniería Mecatrónica,4,Matutino,22,F,66.7,86.9,2,28,Sí,Sí,Medio tiempo,12,12.2,Sí,1,46.6,No,4,Medio,0,1
EST00056,Ingeniería en Gestión Empresarial,8,Matutino,26,F,58.4,72.0,2,32,No,No,Medio tiempo,12,13.0,Sí,9,74.9,No,4,Medio,1,1
EST00057,Ingeniería Industrial,6,Matutino,20,F,72.9,89.8,0,28,No,No,Medio tiempo,24,8.9,Sí,0,78.3,Sí,3,Bajo,0,0
EST00058,Ingeniería Mecatrónica,6,Matutino,21,M,58.2,70.7,1,22,No,No,No trabaja,0,7.4,Sí,13,100,No,2,Bajo,1,0
EST00059,Licenciatura en Administración,1,Vespertino,18,M,79.4,78.6,0,22,No,Sí,Tiempo completo,45,22.7,No,2,71.5,No,2,Medio,0,1
EST00060,Ingeniería Civil,8,Vespertino,22,F,58.3,100,2,30,No,No,Medio tiempo,19,0.5,Sí,6,100,No,2,Bajo,0,0
EST00061,Ingeniería en Gestión Empresarial,6,Matutino,21,F,83.8,92.6,4,25,No,No,No trabaja,0,2.0,Sí,18,95.1,No,5,Bajo,0,0
EST00062,Ingeniería Industrial,6,Matutino,27,M,71.5,78.8,0,18,No,Sí,Medio tiempo,14,11.4,No,0,67.5,No,4,Medio,0,1
EST00063,Ingeniería Electromecánica,4,Vespertino,22,M,88.8,85.2,0,22,Sí,No,No trabaja,0,12.1,Sí,6,71.0,No,5,Bajo,0,0
EST00064,Licenciatura en Administración,2,Matutino,18,M,58.6,87.3,0,29,No,No,Tiempo completo,38,13.3,Sí,13,57.8,No,1,Medio,0,1
EST00065,Ingeniería Mecatrónica,2,Vespertino,22,F,68.3,77.5,3,28,Sí,No,Tiempo completo,40,9.9,Sí,12,54.0,No,5,Alto,1,0
EST00066,Ingeniería en Gestión Empresarial,8,Vespertino,25,F,64.4,81.5,2,23,No,No,Medio tiempo,12,5.7,No,5,60.7,No,2,Alto,0,1
EST00067,Ingeniería en Sistemas Computacionales,2,Vespertino,18,F,73.4,72.3,1,22,No,No,Tiempo completo,34,17.2,Sí,5,58.5,No,4,Alto,1,1
EST00068,Ingeniería Civil,2,Matutino,20,M,73.3,85.4,0,22,No,Sí,Tiempo completo,33,2.0,Sí,7,82.4,No,4,Bajo,0,0
EST00069,Licenciatura en Administración,2,Vespertino,24,F,72.1,95.6,1,35,Sí,Sí,Medio tiempo,26,1.6,No,14,92.3,No,2,Bajo,0,0
EST00070,Contador Público,10,Matutino,24,F,74.4,79.1,5,31,No,No,No trabaja,0,12.7,Sí,13,88.8,Sí,5,Medio,1,1
EST00071,Ingeniería Civil,6,Vespertino,23,M,70.4,73.6,1,23,No,Sí,No trabaja,0,5.2,Sí,11,92.4,No,5,Bajo,1,0
EST00072,Ingeniería Industrial,1,Vespertino,18,M,73.2,77.4,0,30,Sí,No,Medio tiempo,10,0.7,Sí,1,66.8,No,3,Bajo,0,1
EST00073,Licenciatura en Administración,6,Vespertino,23,F,75.1,86.5,3,31,Sí,No,No trabaja,0,13.2,Sí,13,100,No,2,Bajo,0,0
EST00074,Ingeniería Mecatrónica,8,Vespertino,20,F,78.6,93.1,1,33,Sí,No,No trabaja,0,9.0,Sí,0,73.7,No,2,Bajo,0,0
EST00075,Contador Público,1,Matutino,19,M,76.1,79.4,5,30,No,No,No trabaja,0,12.8,Sí,5,69.5,Sí,5,Alto,0,1
EST00076,Ingeniería en Sistemas Computacionales,1,Matutino,21,M,64.6,96.2,3,36,Sí,Sí,No trabaja,0,13.1,No,13,65.8,No,2,Medio,0,1
EST00077,Licenciatura en Administración,2,Vespertino,17,F,65.3,76.5,2,34,No,No,Medio tiempo,18,3.6,Sí,9,84.1,No,5,Medio,0,0
EST00078,Ingeniería Industrial,4,Matutino,19,M,88.2,72.3,0,22,No,No,Medio tiempo,23,11.3,Sí,8,72.6,No,4,Bajo,0,1
EST00079,Licenciatura en Administración,9,Vespertino,21,M,81.8,100,0,27,No,No,Medio tiempo,16,0.5,Sí,16,76.7,No,3,Bajo,0,0
EST00080,Ingeniería Industrial,10,Vespertino,25,M,64.3,86.5,2,22,Sí,Sí,Tiempo completo,34,5.3,Sí,11,65.4,No,1,Medio,0,1
EST00081,Contador Público,6,Vespertino,25,F,60.0,67.9,1,35,No,No,Tiempo completo,35,15.1,No,13,100,No,4,Medio,1,0
EST00082,Contador Público,8,Matutino,27,M,72.2,100,1,33,No,Sí,Tiempo completo,30,3.0,Sí,2,81.4,Sí,3,Bajo,0,0
EST00083,Ingeniería Electromecánica,3,Matutino,20,F,69.5,83.6,1,33,Sí,No,No trabaja,0,0.5,No,3,83.3,No,4,Bajo,0,0
EST00084,Ingeniería en Sistemas Computacionales,5,Vespertino,21,F,73.3,70.7,4,29,No,Sí,No trabaja,0,7.0,Sí,3,84.8,No,3,Medio,0,0
EST00085,Ingeniería en Gestión Empresarial,9,Matutino,23,F,90.9,96.2,3,24,No,No,Medio tiempo,26,0.5,Sí,5,74.0,Sí,5,Medio,0,0
EST00086,Ingeniería Industrial,9,Vespertino,24,M,76.5,74.1,2,24,No,Sí,No trabaja,0,2.8,Sí,0,49.3,Sí,3,Alto,0,0
EST00087,Ingeniería en Gestión Empresarial,1,Vespertino,17,M,68.3,94.7,2,29,Sí,No,No trabaja,0,14.6,Sí,8,76.3,No,4,Bajo,0,0
EST00088,Ingeniería Electromecánica,8,Vespertino,18,F,87.5,87.0,4,18,Sí,Sí,No trabaja,0,6.8,Sí,3,54.6,No,1,Bajo,0,1
EST00089,Ingeniería en Gestión Empresarial,4,Matutino,21,F,72.9,96.3,1,28,Sí,Sí,No trabaja,0,0.5,Sí,14,94.8,No,5,Bajo,0,1
EST00090,Ingeniería Mecatrónica,7,Vespertino,24,M,67.2,95.7,2,27,No,No,Medio tiempo,20,10.6,Sí,2,79.0,No,3,Bajo,0,1
EST00091,Ingeniería Civil,5,Matutino,21,M,73.0,98.9,3,24,No,No,Medio tiempo,12,11.1,Sí,9,79.1,No,1,Bajo,0,0
EST00092,Ingeniería en Sistemas Computacionales,4,Matutino,22,M,72.7,66.8,0,34,No,No,Tiempo completo,36,8.3,Sí,7,100,No,3,Medio,0,1
EST00093,Contador Público,1,Matutino,20,M,83.3,73.8,1,28,Sí,Sí,No trabaja,0,7.9,Sí,13,59.6,No,5,Bajo,0,0
EST00094,Licenciatura en Administración,3,Matutino,20,F,61.3,94.1,2,24,No,No,Medio tiempo,12,2.2,Sí,5,100,No,1,Bajo,0,0
EST00095,Ingeniería en Sistemas Computacionales,1,Vespertino,23,M,84.8,63.4,0,21,No,Sí,Medio tiempo,19,9.5,Sí,3,72.0,No,4,Medio,0,0
EST00096,Contador Público,8,Matutino,24,F,65.3,86.1,2,33,No,Sí,Medio tiempo,11,8.7,Sí,10,85.9,No,5,Bajo,1,0
EST00097,Ingeniería en Sistemas Computacionales,4,Matutino,24,M,87.3,76.4,0,28,Sí,No,No trabaja,0,3.6,Sí,3,46.9,No,3,Bajo,0,0
EST00098,Ingeniería Civil,10,Vespertino,22,M,52.4,83.9,0,28,No,No,Medio tiempo,14,2.3,Sí,9,95.5,No,1,Bajo,1,0
EST00099,Ingeniería en Gestión Empresarial,8,Matutino,19,M,76.1,87.9,0,30,No,No,No trabaja,0,20.2,Sí,10,89.9,No,5,Bajo,0,0
EST00100,Ingeniería en Gestión Empresarial,6,Vespertino,22,M,84.3,90.8,2,30,Sí,No,No trabaja,0,10.5,Sí,11,86.1,No,1,Bajo,0,0
EST00101,Ingeniería Mecatrónica,7,Matutino,23,M,74.4,84.4,0,25,No,Sí,No trabaja,0,12.9,Sí,7,74.3,Sí,3,Bajo,0,0
EST00102,Licenciatura en Administración,10,Vespertino,24,M,83.2,90.6,4,24,No,No,No trabaja,0,3.9,Sí,7,93.4,No,5,Bajo,0,0
EST00103,Ingeniería Civil,6,Vespertino,21,M,84.6,96.3,2,24,No,No,No trabaja,0,19.3,Sí,6,92.5,No,5,Bajo,0,0
EST00104,Ingeniería Civil,5,Matutino,20,F,57.8,83.1,2,29,No,No,No trabaja,0,0.5,Sí,12,62.6,Sí,5,Medio,0,0
EST00105,Licenciatura en Administración,3,Matutino,18,M,72.2,78.3,0,29,No,No,Tiempo completo,40,5.7,Sí,12,68.8,No,1,Bajo,0,0
EST00106,Ingeniería Industrial,2,Matutino,19,F,74.8,91.7,2,21,Sí,No,Medio tiempo,21,13.5,Sí,5,69.4,No,4,Bajo,0,0
EST00107,Ingeniería Mecatrónica,9,Matutino,22,M,66.3,94.0,5,36,No,No,No trabaja,0,14.5,Sí,0,63.8,No,4,Medio,1,1
EST00108,Ingeniería Mecatrónica,6,Vespertino,22,M,84.3,90.1,1,23,No,No,Medio tiempo,20,11.8,Sí,15,98.3,No,5,Bajo,0,0
EST00109,Ingeniería Industrial,3,Vespertino,20,M,73.5,70.5,6,35,Sí,No,Medio tiempo,28,2.3,Sí,4,89.7,No,5,Alto,1,1
EST00110,Ingeniería en Sistemas Computacionales,8,Matutino,23,M,74.3,84.3,0,25,Sí,No,No trabaja,0,14.6,Sí,4,83.8,No,4,Bajo,0,0
EST00111,Ingeniería en Gestión Empresarial,9,Matutino,21,M,77.9,83.7,2,27,No,No,Medio tiempo,11,6.9,Sí,0,53.5,No,2,Medio,0,0
EST00112,Ingeniería Civil,4,Vespertino,23,M,78.9,71.8,1,23,Sí,Sí,No trabaja,0,2.7,Sí,11,77.2,No,2,Bajo,0,0
EST00113,Ingeniería Industrial,3,Vespertino,27,F,76.0,69.0,1,26,No,Sí,Medio tiempo,14,0.5,Sí,6,63.1,No,2,Medio,1,0
EST00114,Ingeniería Electromecánica,6,Vespertino,23,F,81.4,57.8,2,33,Sí,No,Tiempo completo,32,7.4,Sí,13,74.4,No,3,Alto,0,0
EST00115,Ingeniería en Sistemas Computacionales,1,Matutino,17,F,82.5,83.5,3,27,Sí,No,No trabaja,0,0.9,Sí,14,86.4,No,1,Bajo,1,0
EST00116,Ingeniería Mecatrónica,1,Vespertino,17,F,71.3,84.8,1,18,Sí,Sí,No trabaja,0,2.1,Sí,5,99.1,No,2,Bajo,0,0
EST00117,Contador Público,2,Matutino,22,M,68.2,72.3,2,32,Sí,No,No trabaja,0,12.5,Sí,3,64.3,No,2,Medio,0,1
EST00118,Ingeniería Industrial,3,Matutino,19,M,74.3,97.6,0,18,No,Sí,No trabaja,0,5.8,Sí,10,88.7,No,1,Bajo,0,0
EST00119,Ingeniería en Sistemas Computacionales,4,Vespertino,20,F,58.1,96.5,2,20,Sí,No,Medio tiempo,10,11.9,No,1,74.5,No,2,Medio,0,1
EST00120,Contador Público,7,Vespertino,24,F,80.9,83.1,1,20,Sí,Sí,No trabaja,0,12.7,Sí,6,78.6,Sí,2,Bajo,0,0
EST00121,Ingeniería en Gestión Empresarial,10,Matutino,22,F,66.6,77.1,1,22,No,No,No trabaja,0,18.2,Sí,13,78.6,No,2,Alto,1,0
EST00122,Ingeniería Electromecánica,9,Matutino,22,F,80.6,82.2,3,21,Sí,No,No trabaja,0,25.2,Sí,8,100,Sí,5,Bajo,1,0
EST00123,Ingeniería Mecatrónica,3,Matutino,17,M,74.0,88.0,1,19,Sí,Sí,No trabaja,0,4.7,No,12,77.7,No,3,Bajo,0,0
EST00124,Ingeniería Electromecánica,6,Matutino,21,F,63.3,87.0,3,35,No,No,No trabaja,0,8.8,Sí,3,92.8,No,2,Medio,0,0
EST00125,Ingeniería en Sistemas Computacionales,6,Matutino,22,M,100,77.5,0,26,Sí,No,No trabaja,0,3.2,Sí,14,85.1,No,4,Bajo,0,0
EST00126,Ingeniería Industrial,10,Matutino,20,M,76.3,91.8,2,28,Sí,No,No trabaja,0,8.7,Sí,4,85.5,Sí,2,Medio,0,1
EST00127,Ingeniería Industrial,3,Vespertino,18,M,82.4,84.5,0,28,Sí,No,Tiempo completo,36,10.3,Sí,11,75.6,No,1,Bajo,0,0
EST00128,Ingeniería en Sistemas Computacionales,7,Vespertino,19,F,90.6,90.6,0,30,No,No,No trabaja,0,6.4,Sí,12,72.6,No,1,Bajo,1,1
EST00129,Ingeniería en Gestión Empresarial,3,Matutino,24,M,64.8,90.5,3,31,Sí,No,No trabaja,0,2.7,Sí,3,79.0,Sí,5,Medio,0,0
EST00130,Ingeniería Electromecánica,8,Vespertino,24,F,78.2,100,1,18,No,Sí,No trabaja,0,4.4,Sí,12,78.3,No,5,Bajo,0,0
EST00131,Licenciatura en Administración,7,Vespertino,23,F,62.9,80.9,7,21,Sí,No,No trabaja,0,13.8,Sí,3,62.2,Sí,4,Alto,0,1
EST00132,Contador Público,6,Matutino,23,M,67.3,75.1,7,35,Sí,No,Tiempo completo,30,16.2,Sí,7,86.6,No,5,Alto,1,1
EST00133,Licenciatura en Administración,10,Matutino,24,F,67.5,57.3,6,36,Sí,Sí,Tiempo completo,40,3.9,Sí,4,57.0,No,2,Alto,1,1
EST00134,Licenciatura en Administración,3,Vespertino,21,F,70.3,54.9,6,36,Sí,No,No trabaja,0,16.9,Sí,9,71.4,No,2,Alto,1,1
EST00135,Ingeniería en Gestión Empresarial,3,Vespertino,21,M,71.3,86.6,0,20,Sí,No,No trabaja,0,4.6,Sí,12,82.6,No,3,Bajo,0,0
EST00136,Contador Público,8,Vespertino,21,M,61.5,89.4,1,21,Sí,No,Medio tiempo,28,13.7,Sí,2,79.6,No,2,Bajo,0,0
EST00137,Ingeniería en Gestión Empresarial,1,Vespertino,21,M,63.7,90.9,2,27,Sí,Sí,No trabaja,0,7.7,Sí,0,55.3,Sí,2,Medio,1,1
EST00138,Ingeniería en Gestión Empresarial,4,Matutino,22,M,53.9,78.4,1,30,No,No,Tiempo completo,45,9.6,Sí,7,91.6,No,4,Medio,0,1
EST00139,Ingeniería Industrial,2,Vespertino,21,F,69.9,62.3,2,33,Sí,No,Medio tiempo,22,3.2,Sí,6,100,No,5,Bajo,0,0
EST00140,Ingeniería Mecatrónica,2,Vespertino,23,F,83.0,98.0,1,28,No,Sí,Medio tiempo,14,24.3,Sí,16,97.2,No,4,Bajo,0,0
EST00141,Ingeniería en Sistemas Computacionales,10,Vespertino,24,F,86.1,60.4,1,33,Sí,No,Tiempo completo,48,11.2,Sí,4,58.3,No,5,Medio,0,0
EST00142,Ingeniería Civil,1,Vespertino,24,F,86.6,72.2,5,25,Sí,No,No trabaja,0,2.9,Sí,11,57.5,No,4,Alto,0,0
EST00143,Ingeniería Civil,8,Matutino,24,M,88.4,90.3,2,34,No,No,Medio tiempo,21,5.8,Sí,3,75.0,No,2,Medio,0,0
EST00144,Ingeniería Civil,5,Vespertino,22,F,84.7,81.2,0,26,No,Sí,Medio tiempo,17,2.6,Sí,11,84.8,Sí,2,Bajo,0,0
EST00145,Ingeniería Civil,4,Matutino,20,M,66.4,84.9,1,26,No,No,No trabaja,0,4.7,No,6,91.2,No,1,Bajo,0,0
EST00146,Contador Público,10,Matutino,31,M,72.0,90.9,0,27,Sí,Sí,Medio tiempo,19,10.1,Sí,8,84.9,No,1,Bajo,0,0
EST00147,Licenciatura en Administración,3,Matutino,17,M,73.8,65.8,1,33,No,No,Tiempo completo,42,0.5,Sí,10,70.4,No,5,Medio,0,1
EST00148,Ingeniería en Gestión Empresarial,3,Vespertino,20,F,67.5,68.6,0,33,Sí,No,Tiempo completo,40,1.4,Sí,10,49.4,No,2,Medio,0,0
EST00149,Contador Público,9,Vespertino,19,F,98.7,62.0,3,23,No,Sí,No trabaja,0,15.3,Sí,7,61.6,No,5,Alto,1,1
EST00150,Ingeniería Civil,3,Matutino,17,F,86.6,81.9,0,24,No,No,No trabaja,0,9.7,Sí,0,87.0,Sí,4,Bajo,1,0
EST00151,Ingeniería Civil,6,Vespertino,23,M,67.5,87.3,3,22,Sí,No,No trabaja,0,13.3,Sí,14,58.7,No,3,Medio,0,0
EST00152,Ingeniería en Sistemas Computacionales,4,Matutino,21,F,64.8,94.1,1,21,No,Sí,Medio tiempo,15,5.9,Sí,0,76.2,Sí,1,Bajo,0,0
EST00153,Ingeniería Civil,1,Vespertino,19,M,74.7,79.1,0,24,No,No,Medio tiempo,14,10.3,No,12,80.6,No,5,Medio,0,1
EST00154,Ingeniería en Sistemas Computacionales,9,Vespertino,25,M,83.2,71.2,0,34,Sí,Sí,No trabaja,0,4.1,Sí,11,90.7,No,1,Bajo,0,0
EST00155,Ingeniería en Gestión Empresarial,1,Matutino,22,M,89.4,93.5,3,23,Sí,No,No trabaja,0,0.5,Sí,19,92.6,No,1,Bajo,0,0
EST00156,Ingeniería Industrial,7,Vespertino,24,M,87.3,94.1,4,23,Sí,No,Medio tiempo,25,7.9,Sí,20,63.9,No,2,Bajo,0,0
EST00157,Ingeniería en Sistemas Computacionales,3,Vespertino,21,M,70.1,69.6,1,36,Sí,Sí,No trabaja,0,7.6,Sí,10,93.8,No,1,Bajo,0,0
EST00158,Ingeniería Civil,8,Vespertino,21,F,70.3,79.4,3,23,Sí,No,Medio tiempo,27,1.6,Sí,7,76.6,No,1,Medio,0,0
EST00159,Contador Público,7,Matutino,24,M,77.9,82.1,0,19,No,No,No trabaja,0,12.1,Sí,0,75.8,No,4,Bajo,0,0
EST00160,Ingeniería en Gestión Empresarial,6,Vespertino,23,M,77.1,79.2,2,25,Sí,No,No trabaja,0,0.5,Sí,5,99.4,No,3,Bajo,0,0
EST00161,Ingeniería en Sistemas Computacionales,3,Vespertino,23,M,81.6,98.3,0,31,Sí,No,No trabaja,0,16.4,Sí,16,100,No,4,Bajo,0,0
EST00162,Ingeniería en Gestión Empresarial,1,Matutino,18,M,79.2,81.7,0,25,Sí,No,Tiempo completo,35,6.9,Sí,5,93.2,No,2,Bajo,0,0
EST00163,Ingeniería Electromecánica,9,Vespertino,21,F,82.2,81.5,2,23,No,No,No trabaja,0,0.5,Sí,11,67.6,No,3,Bajo,0,0
EST00164,Contador Público,9,Vespertino,24,F,81.0,99.8,0,26,Sí,No,Medio tiempo,10,4.6,Sí,4,87.0,No,1,Bajo,0,0
EST00165,Ingeniería Civil,9,Vespertino,23,M,80.9,76.6,0,32,No,No,Medio tiempo,11,19.5,Sí,14,67.3,No,3,Bajo,0,0
EST00166,Ingeniería Civil,4,Vespertino,17,F,85.0,86.0,0,23,No,Sí,No trabaja,0,14.4,Sí,6,71.3,Sí,4,Bajo,0,0
